wl,f171,f491,f609,f283,f792,f23,f406,f883,f452,f972,f719,f517,f251,f315,f143,f923,f603,f305,f512,f309,f948,f502,f382,f903,f969,f73,f46,f833,f764,f886,f12,f359,f560,f300,f899,f454,f696,f423,f2,f811,f979,f690,f158,f52,f752
394.39,22.248,7.71,1.817,20.074,19.314,3.208,7.342,0.665,4.412,1.554,17.651,8.759,26.086,6.794,11.035,19.135,16.497,16.274,7.442,9.036,4.138,7.241,1.711,0.554,2.793,15.151,4.883,4.116,26.327,11.855,7.634,12.051,7.222,8.395,2.5,21.176,2.009,5.562,1.587,6.112,6.576,1.881,0.883,36.282,0.976
394.76,22.386,7.919,1.777,20.255,19.63,3.221,7.423,0.692,4.688,1.642,17.825,8.973,26.201,6.864,11.129,19.289,16.134,16.495,7.33,9.256,4.289,7.409,1.797,0.561,2.9,15.305,5.129,4.361,25.918,12.116,7.824,12.462,7.487,8.597,2.564,21.502,2.095,5.424,1.564,6.398,6.774,1.892,0.855,36.526,0.978
395.13,22.486,8.125,1.795,20.62,20.023,3.255,7.532,0.825,4.907,1.587,17.943,9.282,26.287,6.977,11.274,19.497,15.838,16.814,7.174,9.495,4.428,7.501,1.813,0.509,2.969,15.474,5.319,4.414,25.675,12.303,7.971,12.902,7.656,8.726,2.413,21.594,2.04,5.365,1.523,6.685,6.981,1.876,0.856,36.681,1.035
395.5,22.582,8.329,1.742,20.909,20.319,3.451,7.681,0.99,5.075,1.651,18.231,9.63,26.369,6.98,11.379,19.758,15.548,17.06,6.945,9.63,4.604,7.555,1.814,0.409,2.898,15.527,5.469,4.514,25.329,12.468,8.114,13.29,7.814,8.829,2.312,21.712,2.061,5.322,1.548,7.014,7.267,1.941,0.816,36.921,1
395.86,22.676,8.549,1.681,21.215,20.742,3.595,7.797,1.041,5.32,1.679,18.413,9.986,26.604,7.113,11.506,19.83,15.316,17.458,6.867,9.963,4.75,7.813,1.836,0.566,3.001,15.744,5.734,4.545,25.074,12.837,8.425,13.677,8.167,9.085,2.408,21.939,2.064,5.136,1.692,7.277,7.62,1.941,0.818,37.117,1.049
396.23,22.96,8.797,1.672,21.583,21.166,3.623,7.861,0.854,5.565,1.826,18.68,10.362,26.706,7.118,11.604,19.963,14.973,17.781,6.67,10.181,5.017,8.003,1.831,0.572,3.011,15.896,5.98,4.647,24.775,13.137,8.723,14.054,8.347,9.225,2.377,22.134,2.01,5.067,1.696,7.61,7.942,1.919,0.835,37.363,1.087
396.6,23.267,9.105,1.631,21.878,21.629,3.678,7.948,0.961,5.719,2.029,19.013,10.734,26.639,7.103,11.654,20.118,14.671,18.129,6.567,10.45,5.26,8.296,1.959,0.547,3.061,15.957,6.226,4.811,24.552,13.339,8.952,14.515,8.754,9.539,2.384,22.262,2.042,4.925,1.759,7.874,8.182,1.935,0.795,37.458,1.105
396.97,23.505,9.343,1.583,22.216,21.813,3.649,8.139,1.126,5.964,2.079,19.22,11.039,26.626,7.123,11.701,20.224,14.547,18.431,6.537,10.626,5.465,8.503,2.005,0.586,3.045,16.046,6.472,4.977,24.262,13.699,9.29,14.916,9.024,9.802,2.445,22.429,2.053,4.86,1.909,8.246,8.485,1.976,0.819,37.719,1.22
397.34,23.519,9.613,1.506,22.45,22.134,3.667,8.235,1.108,6.171,2.153,19.371,11.461,26.633,7.244,11.703,20.294,14.375,18.76,6.499,10.938,5.54,8.721,2.059,0.561,3.154,16.185,6.694,5.075,24.028,13.981,9.486,15.335,9.357,10.079,2.519,22.482,2.093,4.998,1.939,8.51,8.771,1.967,0.794,37.949,1.278
397.7,23.624,9.855,1.419,22.689,22.458,3.661,8.344,1.103,6.457,2.265,19.56,11.713,26.729,7.28,11.765,20.575,14.083,19.036,6.427,11.089,5.679,8.997,1.994,0.571,3.031,16.389,7.072,5.291,23.754,14.255,9.798,15.796,9.621,10.305,2.519,22.643,1.963,4.878,1.975,8.775,9.026,1.941,0.767,38.072,1.303
398.07,23.8,10.03,1.4,22.805,22.652,3.67,8.475,1.082,6.766,2.303,19.763,12.002,26.83,7.339,11.773,20.587,13.859,19.455,6.47,11.406,5.871,9.184,2.033,0.567,2.982,16.431,7.413,5.553,23.479,14.541,10.223,16.408,10.014,10.683,2.594,22.762,2.032,4.829,1.961,9.043,9.374,1.936,0.727,38.168,1.373
398.44,23.934,10.257,1.349,23.106,23.028,3.705,8.547,1.097,6.912,2.366,19.965,12.455,26.917,7.464,11.82,20.711,13.649,19.79,6.226,11.75,6.004,9.418,2.181,0.449,3.064,16.606,7.578,5.653,23.23,14.835,10.549,16.917,10.467,10.967,2.497,22.884,2.035,4.783,1.989,9.364,9.682,1.887,0.724,38.387,1.378
398.81,23.963,10.471,1.289,23.306,23.428,3.744,8.705,1.07,7.095,2.535,20.159,12.843,26.961,7.538,11.859,20.876,13.385,20.051,6.013,12.249,6.32,9.828,2.237,0.442,3.143,16.894,7.995,5.797,23.049,15.093,10.806,17.36,10.824,11.185,2.439,22.958,2.051,4.636,1.986,9.724,9.971,1.922,0.716,38.526,1.389
399.18,24.15,10.744,1.431,23.736,23.794,3.747,8.781,1.162,7.25,2.676,20.338,13.298,27.111,7.586,11.931,21.006,13.166,20.397,5.912,12.559,6.581,10.134,2.259,0.465,3.34,17.155,8.404,6.06,22.906,15.423,11.128,17.878,11.255,11.46,2.439,23.119,1.978,4.592,1.98,10.011,10.326,1.932,0.638,38.651,1.428
399.54,24.247,10.945,1.358,23.953,23.879,3.866,8.88,1.349,7.453,2.773,20.685,13.827,27.252,7.875,11.987,21.146,12.99,20.654,5.868,12.833,6.764,10.326,2.245,0.492,3.415,17.325,8.698,6.272,22.668,15.822,11.573,18.504,11.619,11.828,2.43,23.315,1.99,4.524,2.029,10.371,10.681,1.955,0.614,38.796,1.419
399.91,24.422,11.132,1.316,24.249,24.181,3.959,8.974,1.333,7.647,2.971,21.006,14.183,27.316,8.067,11.975,21.237,12.747,20.904,5.843,13.061,6.947,10.514,2.244,0.576,3.543,17.544,9.021,6.569,22.339,16.353,11.935,19.03,12.095,12.119,2.486,23.486,2.029,4.419,2.074,10.733,11.044,2.035,0.622,38.959,1.445
400.28,24.726,11.425,1.344,24.55,24.558,4.119,9.147,1.299,7.823,3.045,21.2,14.595,27.284,8.197,12.021,21.417,12.534,21.169,5.726,13.385,7.09,10.799,2.372,0.715,3.533,17.648,9.527,6.821,22.003,16.633,12.236,19.575,12.531,12.413,2.517,23.672,2.023,4.288,2.082,11.095,11.459,2.064,0.619,39.148,1.573
400.65,24.955,11.682,1.301,24.844,24.968,4.234,9.218,1.223,8.019,3.25,21.453,15.067,27.259,8.306,12.046,21.538,12.325,21.589,5.579,13.754,7.376,11.055,2.397,0.663,3.588,17.897,9.884,6.975,21.683,17.057,12.65,20.017,12.888,12.634,2.551,23.773,2.024,4.21,2.103,11.55,11.881,2.052,0.636,39.292,1.594
401.01,24.953,11.942,1.277,24.866,25.152,4.307,9.236,1.248,8.282,3.433,21.606,15.516,27.291,8.326,12.014,21.547,12.221,21.854,5.549,14.053,7.777,11.253,2.411,0.681,3.633,18.058,10.361,7.177,21.47,17.479,13.07,20.573,13.36,13.001,2.54,23.905,1.952,4.125,2.133,11.993,12.279,2.115,0.663,39.423,1.589
401.38,25.083,12.172,1.215,25.081,25.495,4.489,9.444,1.302,8.472,3.623,21.792,15.927,27.327,8.476,12.159,21.754,12.199,22.191,5.488,14.309,8.056,11.487,2.429,0.592,3.743,18.222,10.744,7.342,21.333,17.893,13.424,21.117,13.745,13.331,2.579,23.993,1.951,4.04,2.179,12.45,12.584,2.244,0.644,39.608,1.6
401.75,25.221,12.413,1.229,25.413,25.877,4.484,9.573,1.248,8.648,3.873,22.053,16.33,27.381,8.623,12.197,21.883,12.071,22.462,5.37,14.515,8.277,11.689,2.362,0.55,3.859,18.445,11.109,7.551,21.221,18.275,13.828,21.752,14.29,13.583,2.613,24.094,2.013,4.06,2.23,12.84,12.962,2.357,0.644,39.699,1.674
402.12,25.325,12.502,1.237,25.567,26.162,4.601,9.759,1.185,8.892,4.161,22.275,16.645,27.373,8.762,12.179,22.038,11.973,22.769,5.209,14.781,8.422,11.94,2.449,0.598,3.941,18.645,11.568,7.81,21.127,18.675,14.21,22.296,14.702,13.831,2.73,24.274,1.996,4.06,2.226,13.262,13.4,2.374,0.639,39.801,1.675
402.48,25.497,12.768,1.102,25.725,26.41,4.66,9.867,1.064,9.228,4.29,22.37,17.077,27.467,8.927,12.219,22.109,12.023,23.053,5.126,15.076,8.707,12.205,2.484,0.664,3.981,18.767,11.893,7.894,20.963,19.084,14.539,22.847,15.156,14.102,2.646,24.374,1.978,4.038,2.26,13.654,13.83,2.449,0.698,39.914,1.724
402.85,25.689,13.078,1.045,25.889,26.643,4.791,9.976,1.084,9.497,4.48,22.572,17.45,27.537,9.019,12.346,22.319,11.948,23.379,5.16,15.29,8.952,12.517,2.494,0.709,4.133,18.907,12.316,8.106,20.677,19.511,14.971,23.351,15.608,14.43,2.66,24.493,1.913,4.005,2.335,14.039,14.253,2.537,0.769,40.09,1.83
403.22,25.709,13.232,1.005,26.105,26.841,4.864,10.044,1.207,9.658,4.59,22.789,17.852,27.608,9.159,12.416,22.554,11.775,23.708,5.054,15.684,9.114,12.91,2.618,0.908,4.293,19.084,12.722,8.339,20.505,19.954,15.412,23.839,16.052,14.736,2.666,24.592,1.804,3.925,2.304,14.417,14.712,2.631,0.797,40.159,1.972
403.59,25.885,13.456,0.99,26.279,27.097,4.981,10.153,1.161,9.863,4.713,23.023,18.199,27.598,9.199,12.431,22.807,11.726,23.925,4.984,15.915,9.345,13.161,2.659,0.815,4.318,19.107,13.056,8.646,20.365,20.188,15.742,24.444,16.459,15.012,2.615,24.69,1.795,3.945,2.292,14.879,15.11,2.712,0.772,40.328,2.017
403.95,25.848,13.565,1.019,26.364,27.382,5.046,10.258,1.091,10.076,4.95,23.202,18.578,27.633,9.303,12.417,22.926,11.671,24.224,4.96,16.17,9.474,13.404,2.849,0.773,4.389,19.219,13.383,8.806,20.154,20.495,16.173,25.007,16.935,15.346,2.697,24.791,1.839,3.947,2.259,15.282,15.542,2.721,0.801,40.391,2.085
404.32,25.835,13.777,0.968,26.628,27.729,5.192,10.373,1.133,10.367,5.126,23.281,18.776,27.87,9.545,12.399,23.073,11.666,24.505,4.882,16.531,9.716,13.647,2.934,0.687,4.446,19.276,13.785,9.133,19.875,20.96,16.58,25.437,17.233,15.533,2.622,24.855,1.775,4.046,2.251,15.665,15.934,2.817,0.85,40.482,2.093
404.69,25.897,13.902,0.964,26.784,27.862,5.412,10.505,1.17,10.567,5.37,23.457,19.238,27.97,9.701,12.475,23.314,11.605,24.79,4.86,16.854,9.986,13.945,3.031,0.73,4.528,19.355,14.23,9.411,19.796,21.273,16.936,26.009,17.679,15.714,2.65,25.035,1.806,4.1,2.166,16.016,16.341,2.863,0.817,40.549,2.079
405.05,26.032,14.159,0.98,27.14,28.249,5.497,10.578,1.163,10.861,5.585,23.648,19.587,28.046,9.792,12.614,23.497,11.521,25.107,4.717,17.136,10.258,14.243,3.287,0.729,4.628,19.44,14.581,9.614,19.682,21.678,17.424,26.535,18.114,15.96,2.767,25.156,1.861,3.952,2.156,16.471,16.76,2.989,0.846,40.631,2.174
405.42,26.115,14.384,0.947,27.373,28.45,5.59,10.641,1.109,11.194,5.857,23.824,20.051,28.069,9.908,12.536,23.57,11.447,25.434,4.565,17.475,10.601,14.476,3.488,0.768,4.673,19.446,14.878,9.802,19.458,22.149,17.863,27.08,18.601,16.257,2.675,25.233,1.885,3.933,2.243,16.89,17.241,3.032,0.902,40.747,2.24
405.79,26.134,14.631,1.086,27.551,28.678,5.723,10.747,1.071,11.506,6.048,23.907,20.518,28.109,9.964,12.609,23.724,11.423,25.642,4.458,17.735,10.878,14.845,3.612,0.773,4.795,19.515,15.206,9.976,19.446,22.516,18.148,27.52,19.031,16.49,2.685,25.395,1.833,3.914,2.262,17.338,17.622,3.109,0.929,40.816,2.282
406.16,26.184,14.964,0.934,27.683,28.876,5.839,10.911,0.983,11.916,6.231,24.043,21.07,28.087,10.022,12.691,23.893,11.37,25.943,4.506,18.022,11.183,15.109,3.63,0.807,4.813,19.555,15.77,10.272,19.382,22.925,18.626,28.224,19.551,16.86,2.836,25.563,1.877,3.907,2.256,17.789,18.071,3.183,0.953,40.804,2.356
406.52,26.324,15.179,0.924,27.972,29.27,5.843,11.105,0.988,12.362,6.414,24.265,21.502,28.217,10.19,12.842,24.145,11.328,26.278,4.496,18.246,11.432,15.323,3.774,0.737,4.86,19.548,16.198,10.586,19.224,23.347,19.159,28.864,20.02,17.179,2.914,25.717,1.969,3.923,2.277,18.259,18.532,3.24,0.978,40.889,2.479
406.89,26.388,15.373,0.911,28.204,29.473,6.168,11.304,1.017,12.729,6.626,24.51,22.014,28.214,10.339,12.88,24.377,11.319,26.546,4.454,18.599,11.644,15.595,3.928,0.697,4.888,19.508,16.602,10.812,19.042,23.809,19.631,29.4,20.439,17.485,2.985,25.856,2.111,3.905,2.354,18.758,19.011,3.305,0.975,41,2.548
407.26,26.462,15.628,0.945,28.388,29.616,6.415,11.348,1.005,13.154,6.978,24.686,22.528,28.291,10.329,12.874,24.507,11.181,26.899,4.319,18.958,11.979,15.843,4.083,0.734,4.924,19.53,17.153,11.125,18.931,24.229,20.061,30.013,20.966,17.711,3.018,25.959,2.047,3.889,2.343,19.197,19.488,3.401,1.011,41.042,2.666
407.62,26.587,15.934,0.912,28.689,29.859,6.571,11.518,1.023,13.544,7.253,24.795,22.981,28.438,10.451,12.977,24.722,11.222,27.166,4.224,19.289,12.227,16.106,4.341,0.693,4.963,19.563,17.704,11.384,18.864,24.584,20.601,30.674,21.449,18.068,2.997,26.089,2.037,3.8,2.342,19.635,19.988,3.471,1.002,41.119,2.756
407.99,26.595,16.228,0.979,29.018,30.203,6.683,11.78,1.068,13.95,7.549,25.032,23.351,28.582,10.581,13.019,24.909,11.155,27.497,4.113,19.645,12.636,16.391,4.401,0.728,5.123,19.564,18.176,11.651,18.785,25.076,21.184,31.2,21.967,18.373,3.029,26.191,2.087,3.795,2.349,20.125,20.343,3.556,0.996,41.126,2.784
408.36,26.708,16.424,0.92,29.268,30.382,6.915,11.891,1.041,14.439,7.864,25.155,23.706,28.709,10.671,13.108,25.132,11.1,27.762,4.041,19.935,12.976,16.651,4.609,0.805,5.277,19.619,18.697,12.061,18.686,25.452,21.734,31.841,22.484,18.681,3.008,26.309,2.027,3.776,2.363,20.642,20.812,3.676,1.01,41.189,2.928
408.72,26.851,16.664,0.808,29.389,30.523,7.169,11.979,1.128,14.832,8.03,25.349,24.121,28.778,10.785,13.21,25.373,11.071,28.091,3.976,20.251,13.135,17.021,4.782,0.833,5.484,19.602,19.093,12.48,18.507,25.937,22.278,32.414,22.923,18.947,2.99,26.39,2.117,3.788,2.364,21.204,21.361,3.799,1.032,41.25,3.01
409.09,26.992,16.849,0.701,29.612,30.673,7.378,12.077,1.192,15.244,8.223,25.493,24.608,28.807,10.803,13.18,25.513,10.974,28.499,3.946,20.536,13.467,17.361,5.051,0.931,5.538,19.691,19.599,12.826,18.425,26.387,22.88,33.083,23.502,19.259,2.939,26.519,2.123,3.775,2.396,21.737,21.85,3.85,0.989,41.279,3.149
409.46,27.06,17.083,0.795,29.778,31.006,7.487,12.171,1.307,15.612,8.517,25.55,25.038,28.937,10.797,13.132,25.715,10.913,28.861,3.927,20.97,13.744,17.65,5.305,0.973,5.637,19.83,20.196,13.118,18.386,26.874,23.404,33.707,23.966,19.629,2.921,26.646,2.13,3.733,2.402,22.256,22.376,3.94,1.027,41.358,3.27
409.82,27.177,17.421,0.691,29.9,31.174,7.601,12.251,1.376,16.026,8.809,25.71,25.712,29.058,10.94,13.258,25.929,10.652,29.214,3.844,21.262,14.066,17.921,5.494,0.901,5.721,19.827,20.63,13.363,18.214,27.321,24,34.412,24.549,19.986,2.939,26.699,2.135,3.762,2.495,22.774,22.854,4.07,1.058,41.458,3.496
410.19,27.237,17.618,0.672,30.024,31.366,7.827,12.242,1.346,16.526,9.105,25.877,26.323,29.039,10.978,13.269,26.041,10.529,29.553,3.799,21.632,14.339,18.196,5.713,0.919,5.867,19.891,21.217,13.808,18.061,27.747,24.689,34.9,25.124,20.334,2.955,26.709,2.127,3.736,2.526,23.235,23.332,4.121,1.035,41.499,3.658
410.56,27.272,17.889,0.592,30.133,31.493,8.043,12.338,1.344,17.068,9.38,25.93,26.874,29.109,11.083,13.162,26.14,10.275,29.864,3.631,22.018,14.661,18.526,6.052,0.885,5.933,19.931,21.748,14.224,17.951,28.19,25.155,35.653,25.764,20.696,2.99,26.724,2.162,3.721,2.547,23.792,23.869,4.229,1.045,41.525,3.702
410.92,27.442,18.208,0.495,30.324,31.643,8.333,12.398,1.381,17.608,9.632,25.959,27.234,29.203,11.236,13.119,26.228,10.185,30.195,3.539,22.325,14.971,18.751,6.335,0.686,6,19.924,22.305,14.576,17.738,28.631,25.812,36.339,26.308,20.982,3.032,26.866,2.238,3.67,2.596,24.313,24.328,4.312,1.042,41.631,3.82
411.29,27.551,18.343,0.578,30.479,31.814,8.548,12.484,1.297,17.973,10.034,25.984,27.773,29.304,11.37,13.161,26.326,9.994,30.595,3.51,22.698,15.424,19.013,6.712,0.706,6.116,19.995,22.857,14.983,17.499,29.213,26.584,36.957,26.801,21.308,2.955,26.955,2.252,3.66,2.564,24.855,24.796,4.341,1.083,41.704,3.932
411.66,27.707,18.659,0.568,30.788,32.167,8.542,12.463,1.281,18.366,10.317,26.104,28.28,29.446,11.531,13.282,26.487,9.783,31.012,3.358,23.071,15.748,19.3,6.897,0.697,6.254,20.078,23.459,15.482,17.384,29.769,27.145,37.581,27.295,21.625,2.969,27.068,2.272,3.582,2.634,25.325,25.272,4.496,1.047,41.793,4.027
412.02,27.941,18.901,0.603,30.876,32.355,8.709,12.471,1.262,18.73,10.592,26.273,28.973,29.486,11.584,13.35,26.661,9.623,31.346,3.224,23.364,15.993,19.591,7.204,0.771,6.345,20.186,24.074,15.804,17.287,30.194,27.752,38.275,27.871,22.015,2.938,27.2,2.313,3.451,2.81,25.835,25.806,4.502,1.022,41.887,4.15
412.39,28.114,19.263,0.622,31.073,32.633,9.071,12.64,1.355,19.212,10.779,26.398,29.411,29.58,11.659,13.301,26.771,9.505,31.651,3.111,23.702,16.273,19.84,7.529,0.699,6.502,20.319,24.598,16.137,17.042,30.659,28.341,38.891,28.374,22.378,2.965,27.183,2.229,3.361,2.787,26.42,26.29,4.557,1.067,42.015,4.319
412.76,28.183,19.469,0.51,31.276,32.79,9.328,12.719,1.282,19.681,11.082,26.48,30.066,29.668,11.705,13.231,26.827,9.355,31.9,3.076,24.014,16.542,20.054,7.817,0.72,6.622,20.392,25.309,16.611,16.766,31.04,28.916,39.546,28.938,22.684,2.84,27.295,2.132,3.355,2.825,26.986,26.862,4.639,1.101,42.013,4.439
413.12,28.272,19.755,0.56,31.355,33.006,9.626,12.839,1.313,20.069,11.305,26.487,30.623,29.744,11.741,13.388,26.991,9.237,32.248,3.07,24.411,16.882,20.359,8.103,0.652,6.758,20.485,25.899,17.164,16.63,31.408,29.542,40.178,29.404,23.068,2.996,27.404,2.228,3.28,2.771,27.429,27.305,4.729,1.07,42.022,4.582
413.49,28.333,20.005,0.505,31.458,33.179,10.03,12.904,1.32,20.557,11.708,26.63,31.12,29.808,11.794,13.33,27.191,9.057,32.612,2.936,24.83,17.076,20.57,8.505,0.663,6.96,20.657,26.468,17.618,16.294,31.879,30.291,40.969,30.004,23.425,3.023,27.485,2.248,3.253,2.813,28.024,27.844,4.845,1.024,42.089,4.76
413.86,28.501,20.19,0.435,31.576,33.345,10.164,12.99,1.362,21.044,12.025,26.768,31.521,29.968,11.909,13.35,27.379,8.807,33.024,2.838,25.265,17.37,20.894,8.961,0.645,7.18,20.834,27.015,18.032,15.988,32.337,30.854,41.589,30.429,23.672,2.953,27.542,2.172,3.179,2.852,28.6,28.351,4.963,1.042,42.215,4.992
414.22,28.554,20.409,0.382,31.649,33.717,10.353,13.081,1.315,21.476,12.263,26.807,32.141,29.957,11.876,13.303,27.54,8.656,33.397,2.767,25.662,17.667,21.175,9.386,0.716,7.349,20.931,27.662,18.427,15.717,32.875,31.49,42.334,31.058,24.114,2.943,27.572,2.033,3.147,2.889,29.179,28.915,5.09,1.069,42.352,5.154
414.59,28.665,20.62,0.451,31.728,33.905,10.653,13.096,1.252,21.903,12.69,26.841,32.65,29.992,11.872,13.279,27.635,8.527,33.779,2.701,25.886,17.881,21.395,9.769,0.866,7.46,21.021,28.283,18.876,15.435,33.263,32.131,43.038,31.619,24.439,2.887,27.604,1.901,3.138,2.897,29.701,29.463,5.248,1.12,42.401,5.387
414.95,28.771,20.9,0.332,31.908,34.054,10.963,13.081,1.199,22.387,12.934,26.828,33.075,29.977,11.945,13.316,27.82,8.374,34.246,2.642,26.176,18.181,21.654,10.258,0.846,7.675,21.189,28.842,19.295,15.22,33.716,32.833,43.815,32.139,24.803,2.882,27.698,1.955,3.137,2.95,30.337,29.973,5.378,1.112,42.418,5.54
415.32,28.797,21.086,0.301,32.148,34.305,11.25,13.13,1.245,22.966,13.167,26.925,33.566,30.03,12.048,13.338,27.963,8.141,34.634,2.482,26.612,18.52,21.969,10.64,0.889,7.822,21.243,29.322,19.751,15.022,34.155,33.356,44.539,32.688,25.084,2.895,27.761,1.949,3.185,2.973,30.899,30.47,5.53,1.143,42.539,5.815
415.69,28.86,21.266,0.354,32.33,34.587,11.621,13.344,1.209,23.486,13.646,27.036,34.08,30.074,12.098,13.258,28.079,7.989,34.956,2.457,26.995,18.758,22.282,11.141,0.799,7.935,21.352,29.845,20.204,14.766,34.44,33.849,45.285,33.133,25.392,2.808,27.842,1.915,3.171,3.02,31.422,31.035,5.627,1.127,42.632,6.008
416.05,28.92,21.509,0.363,32.514,34.744,11.903,13.463,1.155,23.931,14.012,27.101,34.56,30.063,12.09,13.26,28.188,7.811,35.283,2.414,27.31,18.903,22.553,11.562,0.75,8.012,21.313,30.382,20.572,14.548,34.766,34.429,45.935,33.648,25.717,2.844,27.949,1.944,3.117,3.091,31.889,31.532,5.734,1.136,42.712,6.139
416.42,28.918,21.697,0.361,32.751,34.921,12.244,13.604,1.013,24.425,14.336,27.205,35.033,30.113,12.125,13.253,28.329,7.657,35.681,2.356,27.673,19.15,22.834,12.056,0.741,8.095,21.397,30.922,20.947,14.389,35.07,34.906,46.668,34.209,26.007,2.875,28.081,1.951,3.1,3.113,32.353,31.946,5.809,1.136,42.819,6.336
416.78,28.934,21.829,0.411,32.982,35.069,12.591,13.8,0.981,24.894,14.604,27.293,35.503,30.264,12.204,13.272,28.464,7.48,35.966,2.256,27.984,19.394,23.008,12.462,0.743,8.221,21.403,31.437,21.399,14.18,35.468,35.47,47.327,34.679,26.316,2.911,28.119,2.004,3.058,3.091,32.842,32.474,5.964,1.205,42.85,6.512
417.15,28.984,22.003,0.439,33.129,35.273,12.945,13.963,0.99,25.391,14.926,27.449,35.934,30.27,12.265,13.334,28.669,7.315,36.245,2.265,28.225,19.541,23.271,12.919,0.754,8.351,21.389,31.88,21.897,13.958,35.766,35.987,47.916,35.059,26.563,2.918,28.188,2.003,3.011,3.089,33.368,32.937,6.022,1.215,42.875,6.701
417.52,29.013,22.141,0.489,33.23,35.43,13.245,14.036,1.009,25.725,15.262,27.533,36.247,30.33,12.253,13.272,28.802,7.242,36.499,2.275,28.558,19.797,23.475,13.343,0.781,8.491,21.422,32.298,22.302,13.87,36.081,36.403,48.492,35.447,26.84,2.888,28.259,1.976,2.952,3.11,33.867,33.368,6.118,1.215,42.966,6.871
417.88,29.037,22.309,0.437,33.361,35.608,13.566,14.115,1.011,26.164,15.578,27.598,36.627,30.401,12.357,13.296,28.998,7.124,36.782,2.232,28.829,19.968,23.713,13.818,0.817,8.573,21.466,32.752,22.624,13.735,36.376,36.787,49.202,35.86,27.167,2.865,28.333,1.952,2.944,3.156,34.341,33.721,6.266,1.188,42.998,7.039
418.25,29.109,22.402,0.419,33.41,35.707,13.889,14.175,1.038,26.609,15.832,27.674,36.988,30.428,12.414,13.353,29.193,7.111,37.015,2.199,29.119,20.138,23.883,14.18,0.87,8.684,21.498,33.154,22.996,13.598,36.654,37.264,49.703,36.18,27.412,2.91,28.452,1.985,2.934,3.142,34.715,34.091,6.404,1.169,43.031,7.236
418.61,29.104,22.586,0.452,33.485,35.82,14.257,14.322,1.019,27.07,16.094,27.768,37.309,30.439,12.45,13.414,29.316,7.052,37.256,2.199,29.377,20.285,24.037,14.655,0.938,8.763,21.557,33.508,23.325,13.418,36.93,37.6,50.164,36.548,27.638,2.91,28.455,1.985,2.935,3.185,35.1,34.45,6.524,1.203,43.04,7.417
418.98,29.144,22.789,0.402,33.594,35.975,14.588,14.369,1.014,27.49,16.376,27.902,37.613,30.478,12.462,13.443,29.468,6.998,37.589,2.168,29.627,20.37,24.243,15.102,0.922,8.845,21.584,33.865,23.609,13.274,37.171,37.973,50.703,36.9,27.889,2.962,28.463,1.963,2.922,3.212,35.454,34.779,6.637,1.229,43.062,7.605
419.34,29.177,22.931,0.378,33.643,36.026,14.884,14.409,0.988,27.931,16.675,28.009,37.932,30.461,12.401,13.452,29.667,6.978,37.811,2.161,29.886,20.528,24.386,15.548,0.938,8.965,21.618,34.258,23.926,13.171,37.4,38.326,51.207,37.27,28.126,2.962,28.51,1.907,2.933,3.229,35.858,35.143,6.709,1.26,43.073,7.801
419.71,29.156,23.061,0.338,33.706,36.141,15.244,14.498,1.019,28.344,17.032,28.043,38.189,30.434,12.414,13.494,29.815,6.914,38.067,2.194,30.123,20.73,24.524,15.957,0.947,9.103,21.613,34.582,24.262,12.982,37.634,38.718,51.69,37.557,28.342,3.038,28.597,1.927,2.954,3.171,36.248,35.45,6.827,1.279,43.071,8.027
420.08,29.177,23.163,0.302,33.83,36.229,15.57,14.557,1.07,28.806,17.321,28.022,38.512,30.421,12.434,13.488,29.972,6.818,38.371,2.145,30.385,20.883,24.707,16.424,0.945,9.191,21.608,34.947,24.626,12.893,37.911,39.16,52.136,37.856,28.527,3.067,28.685,1.972,2.955,3.258,36.651,35.801,6.918,1.273,43.059,8.245
420.44,29.266,23.332,0.308,33.931,36.291,15.882,14.633,1.096,29.19,17.598,28.087,38.754,30.403,12.424,13.528,30.192,6.654,38.7,2.125,30.659,21.062,24.879,16.897,0.946,9.257,21.652,35.276,24.951,12.794,38.173,39.547,52.628,38.163,28.785,3.14,28.752,2.011,2.94,3.29,37.016,36.066,6.968,1.261,43.064,8.475
420.81,29.32,23.468,0.289,34.05,36.459,16.282,14.619,1.067,29.577,17.903,28.15,38.956,30.403,12.453,13.534,30.356,6.511,38.982,2.043,30.856,21.181,24.994,17.373,0.962,9.379,21.675,35.612,25.227,12.648,38.417,39.893,53.141,38.497,28.959,3.131,28.753,1.978,2.943,3.308,37.422,36.42,7.067,1.25,43.098,8.692
421.17,29.391,23.634,0.286,34.14,36.482,16.678,14.676,1.107,30.036,18.266,28.218,39.231,30.439,12.46,13.585,30.49,6.42,39.269,2.021,31.063,21.399,25.132,17.804,0.98,9.438,21.641,36.006,25.518,12.581,38.647,40.254,53.623,38.798,29.19,3.126,28.783,2.006,2.933,3.362,37.808,36.746,7.154,1.298,43.162,8.889
421.54,29.379,23.798,0.209,34.274,36.643,17.079,14.761,1.171,30.492,18.567,28.244,39.515,30.479,12.467,13.598,30.645,6.368,39.534,1.934,31.236,21.492,25.263,18.287,1.036,9.493,21.636,36.339,25.828,12.543,38.861,40.65,54.111,39.121,29.414,3.141,28.812,2.033,2.945,3.388,38.165,37.085,7.215,1.304,43.179,9.061
